date,forecast,actual,product,best_model
2024-10-31,4913.432714706659,5526.766666666666,Bread,LSTM
2024-11-30,4708.360004289945,4081.5833333333335,Bread,LSTM
2024-12-31,4825.569488497575,4406.416666666667,Bread,LSTM
2024-10-31,3019.3889849398283,3292.2833333333333,Coffee,LSTM
2024-11-30,2957.528979967907,3392.2166666666667,Coffee,LSTM
2024-12-31,2859.1815339761474,2718.566666666667,Coffee,LSTM
2024-10-31,5593.042831047375,6163.200000000001,Eggs,LSTM
2024-11-30,5545.561932746568,6547.133333333334,Eggs,LSTM
2024-12-31,5455.782167776425,5498.833333333333,Eggs,LSTM
2024-10-31,92645.44435923101,99167.56666666668,Headphones,LSTM
2024-11-30,90198.54838262798,90931.25,Headphones,LSTM
2024-12-31,90072.58721028568,88591.01666666668,Headphones,LSTM
2024-10-31,39823.30065846443,41067.61666666667,Jeans,LSTM
2024-11-30,40437.65416767597,41966.8,Jeans,LSTM
2024-12-31,40572.50679561297,48107.05,Jeans,LSTM
2024-10-31,2463.8563607851665,1828.7666666666669,Juice,LSTM
2024-11-30,2634.387332123021,2662.9833333333336,Juice,LSTM
2024-12-31,2648.031769092381,3330.9166666666665,Juice,LSTM
2024-10-31,101131.76053567528,111292.01666666668,Laptop,LSTM
2024-11-30,98064.18567963441,104588.1,Laptop,LSTM
2024-12-31,96200.44742086629,92163.4,Laptop,LSTM
2024-10-31,2443.276037209232,2483.533333333333,Milk,LSTM
2024-11-30,2400.3688186864056,2070.083333333333,Milk,LSTM
2024-12-31,2441.1836744467414,2109.1,Milk,LSTM
2024-10-31,5025.657970386246,5574.900000000001,Rice,LSTM
2024-11-30,4755.000844339529,4491.983333333335,Rice,LSTM
2024-12-31,4780.617952718833,3981.8000000000006,Rice,LSTM
2024-10-31,29452.80229955192,31402.75,Shoes,LSTM
2024-11-30,28921.464743039516,27764.88333333333,Shoes,LSTM
2024-12-31,28996.391505309944,26019.783333333336,Shoes,LSTM
2024-10-31,78276.6459458299,76243.78333333334,Smartphone,LSTM
2024-11-30,79132.1232291388,81769.05,Smartphone,LSTM
2024-12-31,79103.26165670107,88708.81666666667,Smartphone,LSTM
2024-10-31,2435.766710961858,2755.0166666666664,Soda,LSTM
2024-11-30,2310.2919345388805,2190.95,Soda,LSTM
2024-12-31,2309.3221285144487,1713.249999999999,Soda,LSTM
2024-10-31,29434.44601933411,32841.066666666666,T-shirt,ARIMA
2024-11-30,29340.98182711103,33157.65,T-shirt,ARIMA
2024-12-31,29356.041934303805,31733.1,T-shirt,ARIMA
